Mode,Message_ID,Size_Bytes,RTT_ms,Response_Received
persistent,1,100,0.258,ACK|MSG_ID:1|SIZE:100
persistent,2,100,0.097,ACK|MSG_ID:2|SIZE:100
persistent,3,100,0.084,ACK|MSG_ID:3|SIZE:100
persistent,4,100,0.081,ACK|MSG_ID:4|SIZE:100
persistent,5,100,0.081,ACK|MSG_ID:5|SIZE:100
persistent,6,100,0.092,ACK|MSG_ID:6|SIZE:100
persistent,7,100,0.081,ACK|MSG_ID:7|SIZE:100
persistent,8,100,0.166,ACK|MSG_ID:8|SIZE:100
persistent,9,100,0.085,ACK|MSG_ID:9|SIZE:100
persistent,10,100,0.075,ACK|MSG_ID:10|SIZE:100
persistent,1,1000,0.092,ACK|MSG_ID:1|SIZE:1000
persistent,2,1000,0.058,ACK|MSG_ID:2|SIZE:1000
persistent,3,1000,0.053,ACK|MSG_ID:3|SIZE:1000
persistent,4,1000,0.057,ACK|MSG_ID:4|SIZE:1000
persistent,5,1000,0.045,ACK|MSG_ID:5|SIZE:1000
persistent,6,1000,0.099,ACK|MSG_ID:6|SIZE:1000
persistent,7,1000,0.065,ACK|MSG_ID:7|SIZE:1000
persistent,8,1000,0.053,ACK|MSG_ID:8|SIZE:1000
persistent,9,1000,0.121,ACK|MSG_ID:9|SIZE:1000
persistent,10,1000,0.114,ACK|MSG_ID:10|SIZE:1000
persistent,1,10000,0.201,ACK|MSG_ID:1|SIZE:10000
persistent,2,10000,1.171,ACK|MSG_ID:2|SIZE:10000
persistent,3,10000,0.171,ACK|MSG_ID:3|SIZE:10000
persistent,4,10000,0.182,ACK|MSG_ID:4|SIZE:10000
persistent,5,10000,0.2,ACK|MSG_ID:5|SIZE:10000
persistent,6,10000,0.077,ACK|MSG_ID:6|SIZE:10000
persistent,7,10000,0.073,ACK|MSG_ID:7|SIZE:10000
persistent,8,10000,0.071,ACK|MSG_ID:8|SIZE:10000
persistent,9,10000,0.078,ACK|MSG_ID:9|SIZE:10000
persistent,10,10000,0.071,ACK|MSG_ID:10|SIZE:10000
new_connection,1,100,0.241,ACK|MSG_ID:1|SIZE:100
new_connection,2,100,0.147,ACK|MSG_ID:2|SIZE:100
new_connection,3,100,0.137,ACK|MSG_ID:3|SIZE:100
new_connection,4,100,0.138,ACK|MSG_ID:4|SIZE:100
new_connection,5,100,0.19,ACK|MSG_ID:5|SIZE:100
new_connection,6,100,0.178,ACK|MSG_ID:6|SIZE:100
new_connection,7,100,0.17,ACK|MSG_ID:7|SIZE:100
new_connection,8,100,0.162,ACK|MSG_ID:8|SIZE:100
new_connection,9,100,0.161,ACK|MSG_ID:9|SIZE:100
new_connection,10,100,0.161,ACK|MSG_ID:10|SIZE:100
new_connection,1,1000,0.176,ACK|MSG_ID:1|SIZE:1000
new_connection,2,1000,0.162,ACK|MSG_ID:2|SIZE:1000
new_connection,3,1000,0.162,ACK|MSG_ID:3|SIZE:1000
new_connection,4,1000,0.159,ACK|MSG_ID:4|SIZE:1000
new_connection,5,1000,0.199,ACK|MSG_ID:5|SIZE:1000
new_connection,6,1000,0.164,ACK|MSG_ID:6|SIZE:1000
new_connection,7,1000,0.163,ACK|MSG_ID:7|SIZE:1000
new_connection,8,1000,0.16,ACK|MSG_ID:8|SIZE:1000
new_connection,9,1000,0.128,ACK|MSG_ID:9|SIZE:1000
new_connection,10,1000,0.143,ACK|MSG_ID:10|SIZE:1000
new_connection,1,10000,0.163,ACK|MSG_ID:1|SIZE:10000
new_connection,2,10000,0.135,ACK|MSG_ID:2|SIZE:10000
new_connection,3,10000,0.674,ACK|MSG_ID:3|SIZE:10000
new_connection,4,10000,0.197,ACK|MSG_ID:4|SIZE:10000
new_connection,5,10000,0.137,ACK|MSG_ID:5|SIZE:10000
new_connection,6,10000,0.119,ACK|MSG_ID:6|SIZE:10000
new_connection,7,10000,0.134,ACK|MSG_ID:7|SIZE:10000
new_connection,8,10000,0.122,ACK|MSG_ID:8|SIZE:10000
new_connection,9,10000,0.144,ACK|MSG_ID:9|SIZE:10000
new_connection,10,10000,0.14,ACK|MSG_ID:10|SIZE:10000
